City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
179,wau,7.7029,27.9953,25.51,67,25,0.89,SS,1699841652
180,paradip garh,20.3167,86.6167,24.03,70,88,4.76,IN,1699841652
181,ananindeua,-1.3656,-48.3722,25.95,89,0,2.57,BR,1699841652
182,santiago de surco,-12.15,-77.0167,20.51,82,100,7.2,PE,1699841653
183,sitka,57.0531,-135.33,3.94,75,0,2.57,US,1699841653
184,champerico,14.3,-91.9167,28.01,79,7,1.47,GT,1699841653
185,cooper's town,26.8667,-77.5167,25.34,72,11,3.85,BS,1699841654
186,aiquile,-18.2041,-65.1807,18.67,67,71,1.37,BO,1699841654
187,uturoa,-16.7333,-151.4333,27.72,76,42,2.42,PF,1699841655
188,iaciara,-14.0958,-46.6317,26.5,29,2,0.9,BR,1699841655
189,guelmim,28.987,-10.0574,20.19,26,0,6.17,MA,1699841655
190,west island,-12.1568,96.8225,27.99,78,75,3.6,CC,1699841655
191,ternate,0.8,127.4,29.21,70,63,2.17,ID,1699841656
192,morehead city,34.7229,-76.726,12.77,84,100,6.69,US,1699841387
193,altamont,42.2068,-121.7372,9.43,59,0,8.23,US,1699841364
194,ribnitz-damgarten,54.25,12.4667,6.74,99,51,0.45,DE,1699841657
195,monroeville,40.4212,-79.7881,5.49,72,0,0.89,US,1699841657
196,kinablangan,7.6947,126.5503,29.66,71,26,3.36,PH,1699841657
197,new norfolk,-42.7826,147.0587,19.84,35,25,3.6,AU,1699841658
198,toamasina,-18.1667,49.3833,21.98,85,56,0.85,MG,1699841658
199,chiang klang,19.2938,100.8617,26.84,77,46,0.12,TH,1699841658
200,gonzalez,30.5816,-87.2914,18.75,89,100,3.09,US,1699841659
201,kununurra,-15.7667,128.7333,32.99,55,8,2.57,AU,1699841659
202,guane,22.2025,-84.0875,24.79,83,100,2.84,CU,1699841660
203,iqaluit,63.7506,-68.5145,-17.95,70,20,4.63,CA,1699841660
204,kill devil hills,36.0307,-75.676,13.32,70,100,7.2,US,1699841398
205,sanctuary point,-35.1114,150.629,21.66,54,88,3.49,AU,1699841661
206,shetpe,44.1667,52.1167,9.23,40,77,8.05,KZ,1699841661
207,lubao,14.9167,120.55,30.84,66,97,4.32,PH,1699841661
208,thomson,33.4707,-82.5046,10.25,94,0,0.0,US,1699841549
209,zhengjiatun,43.5064,123.5064,-4.11,76,5,3.33,CN,1699841662
210,kailua-kona,19.6406,-155.9956,27.98,78,40,4.63,US,1699841366
211,arcachon,44.5875,-1.0519,14.18,100,0,2.06,FR,1699841662
212,ingeniero jacobacci,-41.3427,-69.5448,6.07,53,0,6.76,AR,1699841663
213,qa'en,33.7265,59.1844,9.73,45,100,0.31,IR,1699841663
214,yueyang,29.3333,113.0919,9.26,61,95,4.29,CN,1699841663
215,kish,26.5578,54.0194,24.15,60,0,2.06,IR,1699841664
216,blackwater,-23.5833,148.8833,30.94,42,0,2.57,AU,1699841664
217,cidreira,-30.1811,-50.2056,20.45,98,100,5.08,BR,1699841381
218,buldan,38.045,28.8306,12.05,89,44,1.4,TR,1699841665
219,lanzhou,36.0564,103.7922,2.81,58,0,0.58,CN,1699841665
220,richards bay,-28.783,32.0377,18.34,85,100,1.95,ZA,1699841453
221,ust-nera,64.5667,143.2,-23.1,99,100,1.43,RU,1699841666
222,los altos,37.3852,-122.1141,18.43,67,0,2.57,US,1699841642
223,whitmore lake,42.4395,-83.7438,6.06,83,64,1.34,US,1699841666
224,vorkuta,67.5,64.0,-11.01,98,86,2.74,RU,1699841667
225,fuglafjordur,62.244,-6.814,6.26,78,100,10.58,FO,1699841667
226,islamkot,24.6997,70.177,21.75,24,99,2.11,PK,1699841667
227,ancud,-41.8697,-73.8203,7.85,78,84,4.38,CL,1699841668
228,windhoek,-22.5594,17.0832,24.12,41,31,0.89,NA,1699841668
229,valentin gomez farias,28.2167,-106.5833,11.51,89,93,3.92,MX,1699841668
230,rio grande,-32.035,-52.0986,17.75,89,100,2.5,BR,1699841668
231,trairi,-3.2778,-39.2689,24.25,81,0,2.93,BR,1699841476
232,sinabang,2.4803,96.3801,27.27,81,100,1.89,ID,1699841399
233,pfaffenhofen an der ilm,48.5284,11.502,7.46,98,100,1.42,DE,1699841669
234,kayenta,36.7278,-110.2546,7.16,30,0,0.7,US,1699841670
235,changping,40.2186,116.2197,3.8,27,86,2.14,CN,1699841670
236,saipan,15.1355,145.701,31.39,70,20,8.75,MP,1699841670
237,kidal,18.4411,1.4078,24.73,12,0,4.76,ML,1699841426
238,bam,29.106,58.357,17.13,34,0,1.07,IR,1699841671
239,koubia,11.5833,-11.9,19.98,47,4,0.82,GN,1699841671
240,alakurtti,66.9672,30.3491,-6.42,95,100,1.57,RU,1699841671
